Наименование;Описание
Клиновые опоры (чугун) исполнение 110,130,140;Клиновые опоры изготавливаются в исполнениях 110, 130, 140 (чугун) имеют две составные части, используются для установки станков и другого промышленного оборудования непосредственно на фундамент, имеют регулировочные болты с площадкой для выставки и регулировки основания станин оборудования на фундаменте. Имеют различную грузоподъемность в зависимости от устанавливаемого на них оборудования. Исполнение 110 - длина опоры 240мм, грузоподъемность до 2500кгс. Исполнение 130 - длина опоры 300мм, груз
Клиновые ремни для промышленного оборудования;Применяются в токарных фрезерных сверлильных, шлифальных станках и другом промышленном оборудовании для передачи вращательного движения от приводов оборудования (главного двигателя, двигателей) на шпинделя, и другие узлы промышленного оборудования. Имеют различные длины и конфигурацию. Поставляются в зависимости от мощности используемого оборудования и его технических характеристик.
Клинья для станков мод. 1М63;Клинья предназначены для регулировки зазоров в направляющих каретки и суппорта станка. Обеспечивают точное выравнивание и исключение люфтов при передаче движения от ходового винта к подвижным узлам станка.
Клинья для станков мод. ИР1250;Производство и поставка клиньев для станков, применяются в различных конструктивных вариантах и различных конструкционных деталей станочных узлов и механизмов.
Колесо зубчатое УГ9311.0200.057 для револьверной головки УГ9326;Колесо зубчатое УГ9311.0200.057 предназначено для трансмиссии револьверной головки УГ9326 станков с ЧПУ. Обеспечивает передачу крутящего момента при индексировании инструмента и автоматическом переключении позиций.
Кольца пружинные для токарных станков и промышленного оборудования;Кольца пружинные применяются в токарных станках и промышленном оборудовании для фиксации и удержания компонентов на валах и осях. Изделия обеспечивают надежное крепление деталей и предотвращают их смещение при работе оборудования. Кольца пружинные изготавливаются из высокопрочной стали и обеспечивают длительный срок эксплуатации, надежность функционирования и стабильность всей системы при выполнении различных операций обработки и обслуживания станочного оборудования.
Комплект кулачков (3шт.) 3-250.35.11.004 для патрона ф.250мм.;Комплект кулачков в количестве 3 штук модель 3-250.35.11.004 предназначен для использования в патронах диаметром 250мм токарных станков. Кулачки служат для надежного крепления и позиционирования обрабатываемых деталей. Изделия изготавливаются из высокопрочной стали с особой закалкой и обеспечивают надежную фиксацию заготовок, точное центрирование и стабильную работу механизма зажима при выполнении различных операций обработки деталей.
Комплект роликов (в сборе) для неподвижного люнета станков 1М63Н;Комплект роликов предназначен для сборки неподвижного люнета и служит для поддержки и направления обрабатываемой детали при выполнении операций точения. Обеспечивает точное центрирование и исключает биение длинных деталей при высокой частоте вращения.
Комплект секторов с пружинами резцедержателей токарно-винторезного станка модели 16К20;Комплект секторов с пружинами предназначен для закрепления и фиксации резца в резцедержателе токарного станка. Обеспечивает надежное удержание инструмента при выполнении различных операций обработки деталей и предотвращает его смещение под нагрузкой.
Комплектующие для люнетов башмаки ролики вилки;Комплектующие для люнетов предназначены для сборки и функционирования люнетов токарных станков. Включают башмаки для направления, ролики для поддержки детали и вилки для закрепления конструкции при обработке длинных валов.
Конические пары с прямым и круговым зубом до 6 класса точности до m-26;Конические пары зубчатых колес предназначены для передачи крутящего момента между пересекающимися валами на различных станках. Изготавливаются с прямым и круговым профилем зуба с точностью до 6 класса и модулем до m-26.
Конические прижимы инструмента револьверных головок 1П756ДФ3.40.000 и 1П756ДФ3.39.000;Конические прижимы предназначены для надежного крепления и ориентирования режущего инструмента в позициях револьверной головки станка с числовым программным управлением. Обеспечивают точное центрирование и удержание инструмента при работе.
Конические шестерни 16К40 (ползушка);Конические шестерни для ползушки станка модели 16К40 предназначены для передачи крутящего момента между валами, расположенными не параллельно друг другу. Коническая передача состоит из двух зубчатых колес - ведущего и ведомого, установленных под углом. Данный тип передачи применяется при необходимости изменения направления вращения или распределения мощности. Шестерни изготавливаются из высокопрочной стали и обеспечивают стабильную работу механизма подач станка при обработке деталей.
Конструкция и назначение люнета неподвижного токарно-винторезных станков модели 16К40;"Люнет неподвижный предназначен для поддержки обрабатываемой детали при точении длинномерных заготовок. Основные элементы конструкции: корпус, служащий основой устройства и обеспечивающий крепление остальных элементов; центры подвижные, располагающиеся симметрично относительно центра заготовки и обеспечивающие фиксацию детали по диаметру; рычаги регулировки центров, позволяющие точно устанавливать положение центров для оптимального прижима и стабильной работы при обработке деталей с высокими треб"
Концевые переключатели (концевики) (для промышленного оборудования и станков);Используются на промышленном оборудовании и станках. Служат для отключения (блокировки) на кожухах станков и т.д. на перемещения подвижных частей станка и промышленного оборудования.
Коробка подач в сборе станков мод. 1М63;Коробка подач в сборе предназначена для управления скоростями продольной и поперечной подачи токарно-винторезного станка 1М63. Содержит полный набор шестерен и механизмов для изменения подачи в зависимости от типа обрабатываемого материала и требуемого режима резания.
Кронштейн задний для станков;Крепежная деталь для станков токарно-винторезных, применяется в конструкции станков серии 1М63 и аналогичных моделей. Обеспечивает надежное крепление и позиционирование элементов станка.
Кронштейн насоса токарно-винторезных станков 1М63,1М63Н,ДИП300;Кронштейн насоса токарно-винторезного станка моделей 1М63, 1М63Н, ДИП300 представляет собой конструктивный элемент, обеспечивающий надежное крепление гидравлического оборудования (насоса) к корпусной части станка. Основная функция данного элемента заключается в обеспечении устойчивого положения агрегата и предотвращении его смещения при работе, что обеспечивает стабильную подачу смазочно-охлаждающей жидкости (СОЖ) и оптимальный режим обработки деталей.
Кронштейн перемещения задней бабки станков 1Н65;Кронштейн предназначен для крепления и направления перемещения задней бабки на продольных направляющих токарного станка. Обеспечивает точное позиционирование и надежную фиксацию при работе станка.
Кронштейн телефонная трубка фартука станков;Применяется в фартуках в качестве соединительной детали станков токарно-винторезных. Изготавливается из чугуна литьевым методом, обеспечивая надежное соединение компонентов фартука.
Кулачки для план шайб станков 1512,1516;Кулачки для план шайб станков моделей 1512, 1516 предназначены для крепления и позиционирования обрабатываемых деталей в токарно-карусельных станках. Изделия обеспечивают надежную фиксацию заготовок и точное позиционирование при выполнении операций обработки. Кулачки изготавливаются из высокопрочной стали и обеспечивают стабильную работу механизма зажима при длительной эксплуатации и высоких нагрузках при обработке крупногабаритных деталей различного назначения.
Кулачки для токарных патронов ф. 1000мм. и 1250мм.;Кулачки предназначены для зажима и удержания деталей в больших токарных патронах диаметром 1000 и 1250 мм. Обеспечивают надежное крепление заготовок при обработке на токарных станках при различных режимах резания.
Кулачки зажима колесной пары для колесотокарных станков мод.КЗТС1836;Кулачки зажима предназначены для надежного закрепления колесных пар железнодорожных вагонов и локомотивов на колесотокарном станке модели КЗТС1836. Обеспечивают точное центрирование и безопасное удержание детали при обработке.
Кулачок концевик продольного перемещения фартука для станков 1Н983;Кулачок-концевик предназначен для ограничения продольного перемещения фартука токарного станка 1Н983 и срабатывания соответствующих элементов управления. Обеспечивает безопасную работу оборудования путем отключения подач при достижении крайних положений.
Кулачок малый левый;предназначен для зажима деталей в токарных патронах. Работает в комплекте с другими кулачками для обеспечения надежного центрального закрепления заготовок при обработке на станках.
Кулачок сектор зубчатый левый;Кулачок-сектор с зубчатым профилем предназначен для зажима деталей в револьверных головках и специальных приспособлениях. Обеспечивает надежное удержание при обработке на высоких скоростях вращения.
Лента тормозная, вилка карболит для токарно-винторезных станков мод. 16К20, 1К62;Лента тормозная, вилка карболит применяется в шпиндельной бабке и фартуке станка и служит для взаимодействия узлов токарно-винторезных станков моделей 16К20, 1К62. Лента изготавливается из карболитового материала, обеспечивающего надежное торможение при высоких нагрузках. Компоненты обеспечивают точное управление остановом шпинделя, стабильную работу механизма торможения и безопасность при выполнении токарных операций.
Лимб (в сборе: нониус, кольцо, ось и т.д.) токарно-винторезного станка мод. 1К62;Лимб в сборе, включающий нониус, кольцо, ось и другие компоненты, применяется в фартуке станка и служит для перемещения фартука и суппортной части токарно-винторезного станка модели 1К62 в продольном направлении. Компоненты изготавливаются из высокопрочной стали и обеспечивают точное позиционирование инструмента, высокую точность отсчета перемещений и надежную работу механизма подачи при выполнении различных токарных операций обработки деталей.
Линейные опоры качения роликовые;Опоры качения (РС) предназначены для применения в направляющих металлорежущих станков, роботизированных комплексов, контрольно-измерительных приборов, воспринимают высокие нагрузки, действующие перпендикулярно плоскости перемещения, позволяют перемещать исполнительные органы с неограниченной величиной хода.
